Country,Models,Cluster,correlation,disagree (0),agree,poorest (1),poorer (2),average (3),richer (4),richest (5),N
Nigeria,Lee_Yeh,urban,0.72234,45.7,54.3,0.1,0.1,0.4,1.2,52.6,3075
Nigeria,Lee_Yeh,all,0.74151,60.6,39.4,2.1,3.4,3.0,2.7,28.3,6766
Rwanda,Lee_Yeh,rural,0.22406,75.8,24.200000000000003,7.3,4.6,3.8,4.0,4.6,1704
Rwanda,Lee_Yeh,urban,0.34129,72.0,28.0,4.5,4.5,3.6,3.9,11.6,3523
Rwanda,Lee_Yeh,all,0.3047,73.2,26.8,5.4,4.5,3.7,3.9,9.3,5248
Senegal,Lee_Yeh,rural,0.32915,74.2,25.8,2.1,3.3,4.7,6.0,9.7,2378
Senegal,Lee_Yeh,urban,0.50737,21.5,78.5,0.0,0.0,0.0,0.4,78.1,479
Senegal,Lee_Yeh,all,0.54967,65.1,34.900000000000006,1.7,2.7,3.9,5.0,21.6,2882
Sierra Leone,Lee_Yeh,rural,0.31542,71.7,28.3,4.7,4.1,5.7,4.4,9.4,1925
Sierra Leone,Lee_Yeh,urban,0.58265,26.0,74.0,0.9,0.5,0.0,0.9,71.7,219
Sierra Leone,Lee_Yeh,all,0.44404,66.2,33.8,4.4,3.6,4.9,4.0,16.8,2234
Tanzania,Lee_Yeh,rural,0.35779,72.4,27.599999999999994,3.2,4.4,4.9,5.2,9.9,3442
Tanzania,Lee_Yeh,urban,0.77378,38.6,61.4,0.0,0.3,0.5,2.4,58.3,1574
Tanzania,Lee_Yeh,all,0.61613,61.4,38.6,2.2,3.1,3.5,4.3,25.6,5107
Togo,Lee_Yeh,rural,0.3967,71.4,28.599999999999994,4.5,4.5,6.8,7.0,5.9,870
Togo,Lee_Yeh,urban,0.63781,29.7,70.3,0.0,0.0,0.3,0.9,69.1,330
Togo,Lee_Yeh,all,0.65193,59.6,40.4,3.2,3.4,4.9,5.2,23.7,1222
Uganda,Lee_Yeh,rural,0.27974,72.1,27.90000000000001,6.9,5.0,4.8,4.8,6.5,1905
Uganda,Lee_Yeh,urban,0.63651,55.6,44.4,1.5,3.3,3.4,4.1,32.1,1848
Uganda,Lee_Yeh,all,0.50932,63.9,36.1,4.2,4.2,4.1,4.4,19.1,3778
Zambia,Lee_Yeh,rural,0.60547,61.8,38.2,3.7,7.0,6.7,6.5,14.3,1001
Zambia,Lee_Yeh,urban,0.59911,16.1,83.9,0.0,0.4,0.2,0.6,82.7,521
Zambia,Lee_Yeh,all,0.80734,46.4,53.6,2.4,4.8,4.4,4.5,37.5,1531
Zimbabwe,Lee_Yeh,rural,0.44755,68.9,31.099999999999994,3.8,4.4,5.0,6.3,11.6,1487
Zimbabwe,Lee_Yeh,urban,0.46861,6.9,93.1,0.0,0.0,0.0,0.2,92.8,419
Zimbabwe,Lee_Yeh,all,0.70398,55.3,44.7,3.0,3.5,3.9,4.9,29.4,1908
