Country,Cluster,metric,Ensemble,CL,CY,LY
Tanzania,urban,f1,0.81925,0.83812,0.89818,0.91739
Tanzania,urban,precision,0.90291,0.95768,0.9261,0.96146
Tanzania,urban,recall,0.75661,0.75239,0.87384,0.88141
Togo,all,accuracy,0.39718,0.4491,0.49052,0.60044
Togo,all,f1,0.41113,0.49437,0.49583,0.59841
Togo,all,precision,0.43017,0.5634,0.50341,0.60107
Togo,all,recall,0.39718,0.4491,0.49052,0.60044
Togo,rural,accuracy,0.29146,0.2753,0.3405,0.35498
Togo,rural,f1,0.29047,0.28981,0.33376,0.33299
Togo,rural,precision,0.29062,0.3109,0.32865,0.33499
Togo,rural,recall,0.29146,0.2753,0.3405,0.35498
Togo,urban,accuracy,0.68736,0.70088,0.80137,0.85586
Togo,urban,f1,0.78173,0.81074,0.85799,0.91147
Togo,urban,precision,0.91655,0.9701,0.92827,0.97785
Togo,urban,recall,0.68736,0.70088,0.80137,0.85586
Uganda,all,accuracy,0.43302,0.45085,0.49666,0.59059
Uganda,all,f1,0.44936,0.46131,0.52687,0.632
Uganda,all,precision,0.47207,0.47495,0.56826,0.69001
Uganda,all,recall,0.43302,0.45085,0.49666,0.59059
Uganda,rural,accuracy,0.32888,0.33111,0.33333,0.39815
Uganda,rural,f1,0.32794,0.33157,0.33178,0.38708
Uganda,rural,precision,0.33278,0.33566,0.34836,0.40905
Uganda,rural,recall,0.32888,0.33111,0.33333,0.39815
Uganda,urban,accuracy,0.52721,0.56173,0.60615,0.65615
Uganda,urban,f1,0.57052,0.59305,0.67143,0.72095
Uganda,urban,precision,0.64195,0.64186,0.76572,0.81263
Uganda,urban,recall,0.52721,0.56173,0.60615,0.65615
Zambia,all,accuracy,0.69624,0.70974,0.78066,0.85606
Zambia,all,f1,0.71945,0.74102,0.79992,0.87294
Zambia,all,precision,0.74968,0.78713,0.82264,0.89367
Zambia,all,recall,0.69624,0.70974,0.78066,0.85606
Zambia,rural,accuracy,0.55764,0.55307,0.61297,0.66197
Zambia,rural,f1,0.57747,0.57799,0.63475,0.66752
Zambia,rural,precision,0.6054,0.62307,0.66244,0.67871
Zambia,rural,recall,0.55764,0.55307,0.61297,0.66197
Zambia,urban,accuracy,0.90102,0.90183,0.93333,0.92746
Zambia,urban,f1,0.93316,0.94838,0.95157,0.95568
Zambia,urban,precision,0.97072,1.0,0.97223,0.98736
Zambia,urban,recall,0.90102,0.90183,0.93333,0.92746
Zimbabwe,all,accuracy,0.57382,0.6488,0.55217,0.78764
Zimbabwe,all,f1,0.57941,0.66878,0.56477,0.79326
Zimbabwe,all,precision,0.59454,0.69675,0.58503,0.8018
Zimbabwe,all,recall,0.57382,0.6488,0.55217,0.78764
Zimbabwe,rural,accuracy,0.4279,0.48056,0.41123,0.55477
Zimbabwe,rural,f1,0.43285,0.49908,0.42901,0.55852
Zimbabwe,rural,precision,0.45137,0.53731,0.45671,0.57082
Zimbabwe,rural,recall,0.4279,0.48056,0.41123,0.55477
Zimbabwe,urban,accuracy,0.97204,0.98343,0.984,0.97701
Zimbabwe,urban,f1,0.98053,0.99164,0.98201,0.98837
Zimbabwe,urban,precision,0.98917,1.0,0.98003,1.0
Zimbabwe,urban,recall,0.97204,0.98343,0.984,0.97701
